Date,STRet
1/30/1926,0.000561
2/27/1926,-0.033046
3/31/1926,-0.064002
4/30/1926,0.037019
5/28/1926,0.012095
6/30/1926,0.053664
7/31/1926,0.031411
8/31/1926,0.028647
9/30/1926,0.005787
10/30/1926,-0.028996
11/30/1926,0.028554
12/31/1926,0.029211
1/31/1927,0.002416
2/28/1927,0.045367
3/31/1927,0.003756
4/30/1927,0.007225
5/31/1927,0.057773
6/30/1927,-0.021087
7/30/1927,0.075279
8/31/1927,0.02249
9/30/1927,0.049924
10/31/1927,-0.04077
11/30/1927,0.068453
12/31/1927,0.023782
1/31/1928,-0.00334
2/29/1928,-0.014478
3/31/1928,0.090478
4/30/1928,0.043846
5/31/1928,0.01769
6/30/1928,-0.045245
7/31/1928,0.0094
8/31/1928,0.070206
9/29/1928,0.031498
10/31/1928,0.019228
11/30/1928,0.1215
12/31/1928,0.005557
1/31/1929,0.053935
2/28/1929,-0.000446
3/28/1929,-0.007808
4/30/1929,0.017179
5/31/1929,-0.059923
6/29/1929,0.101573
7/31/1929,0.045958
8/30/1929,0.085343
9/30/1929,-0.050455
10/31/1929,-0.196684
11/27/1929,-0.123812
12/31/1929,0.01639
1/31/1930,0.058407
2/28/1930,0.028242
3/31/1930,0.074631
4/30/1930,-0.020541
5/29/1930,-0.01401
6/30/1930,-0.15998
7/31/1930,0.041964
8/29/1930,0.003663
9/30/1930,-0.124805
10/31/1930,-0.086579
11/29/1930,-0.028057
12/31/1930,-0.077739
1/31/1931,0.063792
2/28/1931,0.109695
3/31/1931,-0.062866
4/30/1931,-0.100219
5/29/1931,-0.133836
6/30/1931,0.14034
7/31/1931,-0.066438
8/31/1931,0.003078
9/30/1931,-0.291731
10/31/1931,0.081509
11/30/1931,-0.088402
12/31/1931,-0.134971
1/30/1932,-0.010534
2/29/1932,0.057663
3/31/1932,-0.110599
4/30/1932,-0.179417
5/31/1932,-0.206198
6/30/1932,-0.004289
7/30/1932,0.340643
8/31/1932,0.371386
9/30/1932,-0.028649
10/31/1932,-0.132553
11/30/1932,-0.05826
12/31/1932,0.045227
1/31/1933,0.009813
2/28/1933,-0.153204
3/31/1933,0.033105
4/29/1933,0.394143
5/31/1933,0.213261
6/30/1933,0.133364
7/31/1933,-0.096341
8/31/1933,0.121285
9/30/1933,-0.105836
10/31/1933,-0.08365
11/29/1933,0.099896
12/30/1933,0.017876
1/31/1934,0.126779
2/28/1934,-0.024287
3/31/1934,0.004425
4/30/1934,-0.018345
5/31/1934,-0.072273
6/30/1934,0.025344
7/31/1934,-0.109366
8/31/1934,0.057043
9/29/1934,-0.002362
10/31/1934,-0.018895
11/30/1934,0.082095
12/31/1934,0.003554
1/31/1935,-0.033416
2/28/1935,-0.019462
3/30/1935,-0.036013
4/30/1935,0.090452
5/31/1935,0.034561
6/29/1935,0.057796
7/31/1935,0.07416
8/31/1935,0.026773
9/30/1935,0.026074
10/31/1935,0.069439
11/30/1935,0.052872
12/31/1935,0.046926
1/31/1936,0.069559
2/29/1936,0.025402
3/31/1936,0.008253
4/30/1936,-0.081481
5/29/1936,0.052043
6/30/1936,0.024671
7/31/1936,0.065954
8/31/1936,0.01095
9/30/1936,0.011899
10/31/1936,0.069986
11/30/1936,0.032854
12/31/1936,0.002796
1/30/1937,0.033258
2/27/1937,0.013114
3/31/1937,-0.002732
4/30/1937,-0.075416
5/28/1937,-0.007054
6/30/1937,-0.041748
7/31/1937,0.089725
8/31/1937,-0.048365
9/30/1937,-0.136623
10/30/1937,-0.095798
11/30/1937,-0.083053
12/31/1937,-0.040774
1/31/1938,0.006776
2/28/1938,0.058013
3/31/1938,-0.238416
4/30/1938,0.145963
5/31/1938,-0.039053
6/30/1938,0.237914
7/30/1938,0.072097
8/31/1938,-0.027139
9/30/1938,0.008912
10/31/1938,0.078927
11/30/1938,-0.018206
12/31/1938,0.041919
1/31/1939,-0.060381
2/28/1939,0.035255
3/31/1939,-0.120727
4/29/1939,-0.001932
5/31/1939,0.068971
6/30/1939,-0.053626
7/31/1939,0.102243
8/31/1939,-0.067264
9/30/1939,0.161815
10/31/1939,-0.004191
11/30/1939,-0.037131
12/30/1939,0.029686
1/31/1940,-0.024215
2/29/1940,0.014758
3/30/1940,0.018643
4/30/1940,0.000837
5/31/1940,-0.221112
6/29/1940,0.066856
7/31/1940,0.031923
8/31/1940,0.024296
9/30/1940,0.023118
10/31/1940,0.030143
11/30/1940,-0.016752
12/31/1940,0.006586
1/31/1941,-0.041227
2/28/1941,-0.013801
3/31/1941,0.009515
4/30/1941,-0.054018
5/31/1941,0.01314
6/30/1941,0.058495
7/31/1941,0.059543
8/30/1941,-0.001156
9/30/1941,-0.007611
10/31/1941,-0.052926
11/29/1941,-0.020271
12/31/1941,-0.046692
1/31/1942,0.008979
2/28/1942,-0.023651
3/31/1942,-0.065144
4/30/1942,-0.043583
5/29/1942,0.060174
6/30/1942,0.025772
7/31/1942,0.035326
8/31/1942,0.018408
9/30/1942,0.027069
10/31/1942,0.069088
11/30/1942,0.001177
12/31/1942,0.05129
1/30/1943,0.073382
2/27/1943,0.060478
3/31/1943,0.061794
4/30/1943,0.007333
5/29/1943,0.057142
6/30/1943,0.017351
7/31/1943,-0.047753
8/31/1943,0.013444
9/30/1943,0.024077
10/30/1943,-0.011573
11/30/1943,-0.059903
12/31/1943,0.064217
1/31/1944,0.01803
2/29/1944,0.003459
3/31/1944,0.024768
4/29/1944,-0.016484
5/31/1944,0.050909
6/30/1944,0.056842
7/31/1944,-0.015194
8/31/1944,0.015597
9/30/1944,0.000453
10/31/1944,0.002119
11/30/1944,0.016668
12/30/1944,0.04107
1/31/1945,0.020218
2/28/1945,0.064477
3/31/1945,-0.039177
4/30/1945,0.078232
5/31/1945,0.018185
6/30/1945,0.004676
7/31/1945,-0.022066
8/31/1945,0.061826
9/29/1945,0.048297
10/31/1945,0.038749
11/30/1945,0.054859
12/31/1945,0.013003
1/31/1946,0.063402
2/28/1946,-0.058257
3/30/1946,0.057941
4/30/1946,0.042293
5/31/1946,0.040195
6/28/1946,-0.038668
7/31/1946,-0.026309
8/30/1946,-0.064468
9/30/1946,-0.102023
10/31/1946,-0.014164
11/30/1946,0.000697
12/31/1946,0.050161
1/31/1947,0.013084
2/28/1947,-0.011091
3/31/1947,-0.01679
4/30/1947,-0.047698
5/29/1947,-0.009625
6/30/1947,0.053226
7/31/1947,0.041348
8/29/1947,-0.017357
9/30/1947,-0.004667
10/31/1947,0.024831
11/29/1947,-0.01875
12/31/1947,0.030708
1/31/1948,-0.037908
2/28/1948,-0.043422
3/31/1948,0.082628
4/30/1948,0.038128
5/28/1948,0.074319
6/30/1948,-0.00028
7/30/1948,-0.050288
8/31/1948,0.003762
9/30/1948,-0.029813
10/30/1948,0.060316
11/30/1948,-0.092077
12/31/1948,0.032566
1/31/1949,0.003074
2/28/1949,-0.028852
3/31/1949,0.041537
4/30/1949,-0.017972
5/31/1949,-0.028488
6/30/1949,0.00218
7/29/1949,0.056377
8/31/1949,0.026916
9/30/1949,0.032082
10/31/1949,0.031801
11/30/1949,0.018535
12/31/1949,0.052267
1/31/1950,0.017764
2/28/1950,0.015234
3/31/1950,0.012742
4/29/1950,0.040678
5/31/1950,0.044173
6/30/1950,-0.058018
7/31/1950,0.016122
8/31/1950,0.050875
9/29/1950,0.049044
10/31/1950,-0.001184
11/30/1950,0.029056
12/30/1950,0.057946
1/31/1951,0.058735
2/28/1951,0.014086
3/31/1951,-0.021115
4/30/1951,0.050061
5/31/1951,-0.022464
6/29/1951,-0.025533
7/31/1951,0.071611
8/31/1951,0.045004
9/28/1951,0.009087
10/31/1951,-0.022629
11/30/1951,0.006193
12/31/1951,0.035266
1/31/1952,0.017002
2/29/1952,-0.025141
3/31/1952,0.04587
4/30/1952,-0.049148
5/29/1952,0.032847
6/30/1952,0.039575
7/31/1952,0.011404
8/29/1952,-0.006733
9/30/1952,-0.019147
10/31/1952,-0.005309
11/28/1952,0.059347
12/31/1952,0.031066
1/30/1953,-0.001644
2/27/1953,-0.00182
3/31/1953,-0.012862
4/30/1953,-0.027705
5/29/1953,0.006921
6/30/1953,-0.016377
7/31/1953,0.025111
8/31/1953,-0.044056
9/30/1953,0.00301
10/30/1953,0.047523
11/30/1953,0.028501
12/31/1953,0.000678
1/29/1954,0.052722
2/26/1954,0.017551
3/31/1954,0.037377
4/30/1954,0.043162
5/28/1954,0.031704
6/30/1954,0.01156
7/30/1954,0.050668
8/31/1954,-0.022763
9/30/1954,0.064633
10/29/1954,-0.016216
11/30/1954,0.095387
12/31/1954,0.055469
1/31/1955,0.006838
2/28/1955,0.031354
3/31/1955,-0.000995
4/29/1955,0.032352
5/31/1955,0.012033
6/30/1955,0.066108
7/29/1955,0.020246
8/31/1955,0.004197
9/30/1955,-0.002009
10/31/1955,-0.025752
11/30/1955,0.071864
12/30/1955,0.016543
1/31/1956,-0.028119
2/29/1956,0.03961
3/29/1956,0.068456
4/30/1956,0.005083
5/31/1956,-0.049309
6/29/1956,0.037251
7/31/1956,0.05083
8/31/1956,-0.02982
9/28/1956,-0.049608
10/31/1956,0.007292
11/30/1956,0.004678
12/31/1956,0.034957
1/31/1957,-0.032121
2/28/1957,-0.018703
3/29/1957,0.024112
4/30/1957,0.045179
5/31/1957,0.036679
6/28/1957,-0.005054
7/31/1957,0.008938
8/30/1957,-0.050051
9/30/1957,-0.057586
10/31/1957,-0.041251
11/29/1957,0.025605
12/31/1957,-0.03736
1/31/1958,0.049595
2/28/1958,-0.014257
3/31/1958,0.0337
4/30/1958,0.030833
5/29/1958,0.024582
6/30/1958,0.029493
7/31/1958,0.044844
8/29/1958,0.019181
9/30/1958,0.04868
10/31/1958,0.027184
11/28/1958,0.03061
12/31/1958,0.053099
1/30/1959,0.00912
2/27/1959,0.01122
3/31/1959,0.004669
4/30/1959,0.037899
5/29/1959,0.019595
6/30/1959,0.000676
7/31/1959,0.034362
8/31/1959,-0.012446
9/30/1959,-0.044977
10/30/1959,0.015746
11/30/1959,0.018557
12/31/1959,0.028043
1/29/1960,-0.066244
2/29/1960,0.014419
3/31/1960,-0.012822
4/29/1960,-0.015271
5/31/1960,0.034098
6/30/1960,0.022833
7/29/1960,-0.022705
8/31/1960,0.032215
9/30/1960,-0.058673
10/31/1960,-0.004705
11/30/1960,0.048617
12/30/1960,0.048537
1/31/1961,0.063952
2/28/1961,0.037005
